i,152884
and,128635
the,123648
you,106042
it,99341
to,85134
a,84376
uh,71176
s,71159
of,66752
yeah,51388
in,48553
they,48548
that,47456
nt,43530
we,40077
know,38553
that,37900
do,36644
is,34933
was,32248
but,30297
like,28302
um,27851
just,26582
have,24830
well,24560
so,23542
for,23461
what,22428
oh,20541
or,20395
on,20147
re,20020
that,18710
there,18656
be,17685
my,17599
think,17574
not,17534
this,16908
are,16886
if,16881
with,16864
really,16712
he,16185
uh-huh,15633
about,15225
um-hum,15111
know,14502
m,14409
because,13430
right,13369
at,13294
so,12605
ve,12602
would,12501
then,11619
had,11614
have,11518
when,11471
them,11382
did,11331
can,11143
okay,10907
all,10883
out,10729
i,10624
she,10487
some,10313
people,10078
lot,9936
no,9893
get,9676
do,9278
now,9210
as,8990
good,8699
were,8671
going,8553
kind,8536
time,8506
me,8376
from,8240
mean,8186
how,8182
s,8020
your,7941
here,7857
things,7450
something,7400
go,7186
been,6990
see,6851
too,6824
an,6729
where,6695
very,6362
thing,6295
could,6293
ll,6242
got,6127
other,5995
up,5983
guess,5891
little,5793
our,5722
their,5620
does,5568
more,5382
has,5251
yes,5106
up,5085
way,5003
those,4891
any,4823
even,4775
much,4770
who,4710
years,4610
probably,4486
into,4338
pretty,4276
back,4268
which,4218
than,4198
these,4138
sure,4100
by,4063
said,4045
there,3998
down,3951
think,3920
get,3847
year,3842
over,3825
all,3721
ca,3639
stuff,3634
real,3627
actually,3549
her,3530
right,3521
home,3396
went,3391
never,3350
doing,3338
always,3288
maybe,3263
right,3258
kids,3182
take,3174
anything,3154
but,3149
still,3147
him,3135
big,3079
around,3064
gonna,3054
different,3040
will,3007
say,2994
d,2988
as,2981
should,2981
make,2958
school,2928
want,2921
also,2914
same,2879
his,2875
money,2816
got,2799
us,2797
day,2776
nice,2720
work,2661
go,2657
only,2625
why,2624
many,2614
sort,2585
let,2565
every,2547
more,2535
course,2533
through,2519
everything,2510
getting,2510
first,2466
bit,2382
last,2363
say,2361
done,2311
being,2265
before,2259
problem,2239
old,2233
off,2229
thought,2222
great,2204
need,2197
house,2183
car,2178
another,2173
most,2148
xx,2128
family,2119
part,2118
though,2106
children,2060
whole,2049
ever,1997
mhm,1991
else,1952
come,1950
huh,1945
d,1943
trying,1936
whatever,1893
seems,1885
after,1883
bad,1876
interesting,1855
like,1804
feel,1798
might,1790
had,1766
place,1755
far,1745
much,1740
care,1732
like,1730
out,1728
long,1723
area,1713
used,1708
quite,1700
again,1686
put,1685
couple,1674
talking,1665
tell,1664
point,1662
new,1659
fact,1654
having,1653
work,1639
somebody,1637
better,1635
find,1609
hard,1605
want,1586
ago,1582
times,1582
sometimes,1566
away,1565
look,1555
saying,1549
own,1536
usually,1534
exactly,1532
once,1509
everybody,1498
person,1498
came,1494
remember,1483
able,1478
type,1470
anyway,1468
dollars,1461
week,1454
high,1443
mean,1442
both,1431
texas,1411
few,1410
husband,1403
life,1395
seen,1393
next,1376
keep,1356
job,1353
since,1351
fun,1334
give,1331
pay,1320
looking,1319
least,1318
working,1298
country,1297
goes,1290
wanted,1290
college,1266
took,1266
enough,1248
may,1232
started,1229
ones,1221
almost,1217
system,1206
someone,1205
am,1184
dallas,1176
basically,1163
cuz,1163
wanna,1162
night,1161
use,1159
hm,1157
gets,1154
try,1132
days,1127
number,1127
watch,1125
idea,1123
each,1122
state,1120
see,1119
parents,1117
yet,1105
whether,1095
together,1092
makes,1082
until,1078
either,1059
coming,1053
news,1047
guy,1037
women,1035
comes,1022
used,1010
wow,1007
problems,1005
small,1005
especially,1002
live,999
saw,999
wife,997
understand,978
company,975
child,972
start,971
mother,961
gone,958
government,958
says,958
such,957
buy,956
between,955
name,952
paper,950
only,948
put,939
definitely,938
guys,938
today,923
best,919
certain,911
heard,910
read,910
end,909
important,904
myself,904
take,900
movie,896
class,891
nothing,887
while,885
question,880
talk,878
book,860
new,856
water,853
month,847
made,846
reason,846
taking,844
thinking,841
side,839
credit,826
play,826
world,821
supposed,815
boy,809
come,809
tv,807
funny,800
music,800
percent,800
wonderful,798
sounds,797
friends,795
fifty,780
case,779
months,779
certainly,776
food,775
agree,772
during,772
places,772
help,768
already,765
program,765
sense,763
yep,755
young,752
gotten,750
her,750
cars,747
anymore,746
story,744
summer,743
wo,743
bought,741
rather,738
dog,735
tax,734
off,732
use,731
second,730
business,728
long,727
made,726
situation,724
spend,724
making,718
look,717
mine,716
easy,710
little,708
anybody,706
computer,701
stay,699
make,698
man,698
older,692
hear,690
found,685
lived,685
believe,684
half,684
schools,680
city,678
called,675
living,675
knew,674
ti,671
town,671
worked,671
matter,670
room,670
under,666
while,666
less,664
group,663
absolutely,661
several,661
crime,660
weeks,660
eighty,658
live,658
love,658
use,658
without,658
paying,655
friend,654
happened,653
enjoy,652
called,648
large,648
neat,647
often,644
takes,643
wrong,643
age,642
taxes,640
must,639
although,637
told,637
line,635
favorite,633
son,633
health,632
go,631
gosh,630
try,629
hours,628
moved,628
kinds,626
put,626
happens,619
morning,619
dad,617
along,616
amount,616
difference,616
drug,615
terms,614
ahead,610
happen,610
insurance,609
alright,607
camping,606
example,605
hour,605
minutes,605
major,603
books,602
hand,602
stories,599
involved,597
gun,593
works,593
fine,592
outside,591
public,591
using,591
daughter,589
students,585
change,580
plus,579
ah,577
given,574
mom,574
particular,573
remember,573
budget,572
miles,572
up,571
eat,569
sorry,567
work,566
movies,565
recently,565
later,563
yourself,562
forty,561
against,560
expensive,560
jury,560
most,556
down,554
heard,554
running,554
fifteen,553
mostly,553
everyone,550
bye-bye,549
instead,549
card,548
hum,548
um,543
education,542
god,542
pick,542
sit,542
interest,539
lots,535
drugs,533
feel,526
looks,525
weather,524
its,519
show,519
experience,518
run,514
deal,513
men,513
call,511
interested,509
ask,508
air,507
fairly,507
somewhere,507
full,505
married,504
office,502
talk,501
i,498
need,498
death,497
watching,497
income,493
unless,492
control,490
team,489
level,488
s,488
difficult,484
information,482
taken,482
gave,481
wait,480
ways,480
service,478
bye,477
b,475
seem,473
hope,472
nursing,469
trouble,469
game,468
looked,467
wants,467
questions,466
learn,462
read,462
cat,460
tried,460
benefits,459
except,458
woman,458
ready,457
father,455
means,455
imagine,454
liked,454
school,454
growing,453
kid,453
past,450
bring,449
decided,449
local,449
playing,449
reading,448
law,447
society,447
putting,446
set,444
across,443
care,442
finally,442
find,442
within,442
sitting,441
themselves,441
door,440
student,440
thank,440
hot,439
tend,437
christmas,436
cold,436
felt,435
keep,435
fish,434
capital,433
mind,431
rest,431
believe,429
areas,428
phone,428
th,428
totally,426
york,426
california,425
paid,425
starting,425
punishment,424
word,423
enough,420
talking,420
call,418
winter,418
nineteen,417
start,417
recycling,416
topic,416
community,415
nobody,414
order,414
cards,413
wonder,413
choice,412
rate,411
black,410
free,409
needs,409
pay,408
leave,407
plano,407
chance,406
wear,406
call,405
hey,404
sister,404
talked,404
companies,403
happy,403
yard,403
goodness,401
grew,401
worth,401
change,400
t,399
write,399
social,398
z,398
brother,397
seem,397
weekend,397
countries,396
forth,396
baby,395
left,395
girl,394
single,394
listen,393
lives,393
oil,391
teacher,390
turn,390
wish,390
give,389
white,388
early,387
vacation,387
seventy,386
first,385
war,385
x,385
dinner,381
ought,379
depends,378
y,378
general,377
necessarily,376
tough,376
dollar,374
regular,374
sixty,374
price,373
beautiful,371
c,371
enjoy,371
issue,371
test,371
guns,370
space,370
ve,370
obviously,369
bunch,368
power,368
radio,367
soon,367
newspaper,366
period,366
united,365
crazy,364
programs,364
term,364
walk,364
history,363
cases,362
no,362
store,359
words,358
cats,357
teachers,357
younger,357
either,353
personal,350
states,350
yeah,349
degree,348
telling,346
k,344
read,344
grade,341
street,341
extra,340
behind,339
lately,339
trees,339
kept,338
anyone,337
knows,337
special,337
exercise,336
seeing,336
ended,335
head,335
over,335
testing,335
front,333
short,333
church,332
awful,331
north,331
cost,330
homes,330
parts,328
easier,327
families,327
mean,326
low,325
ours,325
amazing,324
american,323
near,323
spent,322
suppose,322
terrible,322
hate,321
kinda,321
scary,321
driving,320
enjoyed,320
changes,319
thought,319
jobs,318
teach,318
american,317
per,317
plastic,317
completely,316
e,316
football,316
gives,316
main,316
whenever,316
concerned,315
open,314
third,314
top,314
cans,313
english,312
size,312
stop,311
grandmother,309
played,309
quality,309
realize,309
drive,308
itself,308
top,308
afford,307
back,307
come,306
higher,306
dogs,305
gas,305
games,304
bet,303
changed,303
cut,303
seemed,303
doctor,302
drive,302
private,302
watch,302
good,301
strange,301
y,301
fast,300
send,300
season,299
research,298
that,298
check,297
clothes,295
look,295
giving,294
ok,294
process,294
sad,294
answer,293
magazines,293
medical,293
road,293
particularly,292
temperature,292
building,290
feeling,289
talk,289
worse,289
boys,288
classes,288
late,288
television,288
equal,287
familiar,286
hard,286
decision,285
moving,285
possible,285
twice,285
likes,284
san,284
turned,284
eventually,283
language,283
neighborhood,283
picture,283
asked,282
h,282
machine,282
national,282
university,282
eighteen,281
anywhere,280
w,280
close,279
huge,279
oclock,279
glad,278
military,278
political,278
thanks,278
biggest,277
snow,277
unfortunately,277
move,276
recycle,276
similar,276
vote,276
buying,275
inside,275
weird,275
center,274
sell,274
america,272
normal,272
attention,271
party,271
waiting,271
plan,269
available,268
bigger,268
walking,268
left,267
worry,267
aware,266
catch,266
middle,266
minute,266
needed,266
types,266
graduate,265
rid,265
fishing,264
generally,264
independent,264
body,263
died,263
restaurant,263
science,263
show,263
sports,263
based,262
others,262
throw,262
writing,262
agree,261
apartment,261
fall,261
hear,261
hit,260
play,259
towards,259
either,258
states,258
figure,257
hopefully,257
huh-uh,257
trip,257
girls,256
perhaps,256
strong,256
field,255
shows,255
tell,255
let,254
rain,254
systems,254
truck,254
north,253
personally,253
